dark eclipse moon
14. D:\Corpus\Solar_eclipse_of_March_9,_2016.txt score=0.053008106
15. D:\Corpus\Earth.txt score=0.046333067
16. D:\Corpus\Solar_eclipse_of_August_9,_1896.txt score=0.044357724
17. D:\Corpus\National_Diet_Library.txt score=0.04041371
18. D:\Corpus\Solar_eclipse_of_June_26,_1824.txt score=0.039207056
19. D:\Corpus\Solar_eclipse_of_October_14,_2004.txt score=0.039207056
20. D:\Corpus\Solar_eclipse_of_August_19,_1887.txt score=0.03881301
21. D:\Corpus\Human_history.txt score=0.03783911
22. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.037364826
23. D:\Corpus\Bulgaria.txt score=0.034933053
24. D:\Corpus\Germany.txt score=0.034765195
25. D:\Corpus\STEREO.txt score=0.033130065
26. D:\Corpus\Serbia.txt score=0.03257799
27. D:\Corpus\Amasya.txt score=0.03240488
28. D:\Corpus\Tide.txt score=0.031712923
29. D:\Corpus\Hinode.txt score=0.031365648
30. D:\Corpus\Solar_eclipse_of_August_10,_1915.txt score=0.031365648
31. D:\Corpus\Solar_eclipse_of_July_20,_1944.txt score=0.031365648
32. D:\Corpus\Solar_eclipse_of_July_9,_1926.txt score=0.031365648
33. D:\Corpus\Solar_eclipse_of_May_19,_1985.txt score=0.031365648
34. D:\Corpus\Solar_eclipse_of_May_9,_1929.txt score=0.031365648
35. D:\Corpus\Solar_eclipse_of_May_9,_1948.txt score=0.031365648
36. D:\Corpus\Daguerreotype.txt score=0.02958022
37. D:\Corpus\Pakistan.txt score=0.028776517
38. D:\Corpus\Argentina.txt score=0.028385665
39. D:\Corpus\Quebec.txt score=0.027748808
40. D:\Corpus\Solar_eclipse_of_April_19,_1958.txt score=0.02744494
41. D:\Corpus\Solar_eclipse_of_December_2,_1937.txt score=0.02744494
42. D:\Corpus\Solar_eclipse_of_February_14,_1915.txt score=0.02744494
43. D:\Corpus\Solar_eclipse_of_February_14,_1934.txt score=0.02744494
44. D:\Corpus\Solar_eclipse_of_February_4,_1943.txt score=0.02744494
45. D:\Corpus\Solar_eclipse_of_February_5,_1962.txt score=0.02744494
46. D:\Corpus\Solar_eclipse_of_June_19,_1936.txt score=0.02744494
47. D:\Corpus\Solar_eclipse_of_September_10,_1923.txt score=0.02744494
48. D:\Corpus\Solar_eclipse_of_September_2,_2035.txt score=0.02744494
49. D:\Corpus\Solar_eclipse_of_September_21,_1941.txt score=0.02744494
50. D:\Corpus\Solar_eclipse_of_September_23,_1987.txt score=0.02744494
51. D:\Corpus\Russia.txt score=0.027018543
52. D:\Corpus\Solar_eclipse_of_August_12,_2045.txt score=0.02668916
53. D:\Corpus\Solar_eclipse_of_July_11,_2010.txt score=0.02642092
54. D:\Corpus\Yohkoh.txt score=0.023768015
55. D:\Corpus\Solar_eclipse_of_July_10,_1972.txt score=0.023524236
56. D:\Corpus\Solar_eclipse_of_June_20,_1955.txt score=0.023524236
57. D:\Corpus\Atlantic_Ocean.txt score=0.02311349
58. D:\Corpus\India.txt score=0.021765094
59. D:\Corpus\R%C3%A2mnicu_V%C3%A2lcea.txt score=0.021351328
60. D:\Corpus\Asia_Minor.txt score=0.020887574
61. D:\Corpus\Mursili%27s_eclipse.txt score=0.019603528
62. D:\Corpus\Solar_eclipse_of_July_20,_1963.txt score=0.019603528
63. D:\Corpus\Exploration_of_the_Moon.txt score=0.019207459
64. D:\Corpus\Chita,_Zabaykalsky_Krai.txt score=0.018682413
65. D:\Corpus\List_of_lunar_features.txt score=0.018682413
66. D:\Corpus\Solar_astronomy.txt score=0.018517075
67. D:\Corpus\Sun.txt score=0.018517075
68. D:\Corpus\United_Kingdom.txt score=0.01819304
69. D:\Corpus\List_of_missions_to_the_Moon.txt score=0.016977154
70. D:\Corpus\Moon_rabbit.txt score=0.016634148
71. D:\Corpus\Wayback_Machine.txt score=0.016398547
72. D:\Corpus\Cyprus.txt score=0.01620244
73. D:\Corpus\FR_Yugoslavia.txt score=0.016179442
74. D:\Corpus\English_Channel.txt score=0.016013496
75. D:\Corpus\Equator.txt score=0.016013496
76. D:\Corpus\Lunar_sample_displays.txt score=0.015682824
77. D:\Corpus\Solar_eclipse_of_June_8,_1918.txt score=0.015682824
78. D:\Corpus\Solar_power.txt score=0.014702647
79. D:\Corpus\Compact_Disc.txt score=0.014405593
80. D:\Corpus\Solar_eclipses_in_fiction.txt score=0.013861788
81. D:\Corpus\Space_probe.txt score=0.013861788
82. D:\Corpus\Bay_of_Bengal.txt score=0.01372247
83. D:\Corpus\Origin_of_the_Moon.txt score=0.01334458
84. D:\Corpus\Selenography.txt score=0.01334458
85. D:\Corpus\Lunar_water.txt score=0.011884008
86. D:\Corpus\Solar_flare.txt score=0.011884008
87. D:\Corpus\Solar_flares.txt score=0.011884008
88. D:\Corpus\Week.txt score=0.011884008
89. D:\Corpus\Apollo_11_lunar_sample_display.txt score=0.011762118
90. D:\Corpus\Apollo_17_lunar_sample_display.txt score=0.011762118
91. D:\Corpus\Banknote.txt score=0.011556745
92. D:\Corpus\The_Times.txt score=0.011323251
93. D:\Corpus\Civil_twilight.txt score=0.010675664
94. D:\Corpus\Libertad_Lamarque.txt score=0.010675664
95. D:\Corpus\The_Lizard.txt score=0.010675664
96. D:\Corpus\Croatia.txt score=0.010443787
97. D:\Corpus\Coronal_loop.txt score=0.009801764
98. D:\Corpus\Coronal_loops.txt score=0.009801764
99. D:\Corpus\Pareidolia.txt score=0.009801764
100. D:\Corpus\X-ray_telescope.txt score=0.009801764

==========================================================

solar eclipse fiction
=======================
1. D:\Corpus\Solar_eclipses_in_fiction.txt score=0.28046656
2. D:\Corpus\List_of_solar_eclipses_visible_from_Ukraine.txt score=0.26441967
3. D:\Corpus\List_of_solar_eclipses_visible_from_the_Philippines.txt score=0.25807667
4. D:\Corpus\Eclipse_of_the_Sun_(novel).txt score=0.24245355
5. D:\Corpus\List_of_solar_eclipses_visible_from_Russia.txt score=0.18648875
6. D:\Corpus\Moon_in_fiction.txt score=0.16003686
7. D:\Corpus\Lists_of_solar_eclipses.txt score=0.15954444
8. D:\Corpus\Solar_eclipse.txt score=0.15453982
9. D:\Corpus\Solar_eclipse_of_May_30,_1946.txt score=0.15167609
10. D:\Corpus\Solar_Saros_126.txt score=0.14585231
11. D:\Corpus\Solar_eclipse_of_August_22,_1979.txt score=0.14300585
12. D:\Corpus\Gravitational_shielding.txt score=0.14004658
13. D:\Corpus\Halys_River.txt score=0.13848113
14. D:\Corpus\Solar_eclipse_of_October_14,_2042.txt score=0.1358281
15. D:\Corpus\Solar_eclipse_of_June_28,_1889.txt score=0.13471943
16. D:\Corpus\Solar_eclipse_of_December_25,_2000.txt score=0.13406399
17. D:\Corpus\Solar_eclipse_of_November_12,_1985.txt score=0.13406399
18. D:\Corpus\Solar_eclipse_of_September_22,_1968.txt score=0.13406399
19. D:\Corpus\List_of_solar_eclipses_visible_from_the_United_States.txt score=0.1337644
20. D:\Corpus\Solar_eclipse_of_December_14,_1917.txt score=0.13229994
21. D:\Corpus\Solar_eclipse_of_November_4,_2097.txt score=0.13229994
22. D:\Corpus\Solar_eclipse_of_June_8,_1937.txt score=0.13200107
23. D:\Corpus\Solar_eclipse_of_April_16,_1874.txt score=0.13178822
24. D:\Corpus\Solar_eclipse_of_February_9,_1766.txt score=0.13178822
25. D:\Corpus\Solar_eclipse_of_April_8,_2005.txt score=0.13141029
26. D:\Corpus\Solar_eclipse_of_June_3,_2114.txt score=0.13135535
27. D:\Corpus\Solar_eclipse_of_August_12,_1942.txt score=0.13078007
28. D:\Corpus\Solar_eclipse_of_January_16,_2094.txt score=0.13078007
29. D:\Corpus\Solar_eclipse_of_October_14,_2004.txt score=0.13078007
30. D:\Corpus\Solar_eclipse_of_July_18,_1860.txt score=0.12868929
31. D:\Corpus\Solar_eclipse_of_November_2,_1967.txt score=0.12868929
32. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.12775294
33. D:\Corpus\Solar_eclipse_of_April_10,_2089.txt score=0.12725192
34. D:\Corpus\Solar_eclipse_of_April_7,_1940.txt score=0.12725192
35. D:\Corpus\Solar_eclipse_of_April_8,_1921.txt score=0.12725192
36. D:\Corpus\Solar_eclipse_of_August_10,_1934.txt score=0.12725192
37. D:\Corpus\Solar_eclipse_of_August_3,_2092.txt score=0.12725192
38. D:\Corpus\Solar_eclipse_of_February_25,_1914.txt score=0.12725192
39. D:\Corpus\Solar_eclipse_of_February_27,_2082.txt score=0.12725192
40. D:\Corpus\Solar_eclipse_of_February_7,_2092.txt score=0.12725192
41. D:\Corpus\Solar_eclipse_of_January_25,_1963.txt score=0.12725192
42. D:\Corpus\Solar_eclipse_of_January_27,_2074.txt score=0.12725192
43. D:\Corpus\Solar_eclipse_of_July_10,_1907.txt score=0.12725192
44. D:\Corpus\Solar_eclipse_of_July_13,_2075.txt score=0.12725192
45. D:\Corpus\Solar_eclipse_of_July_23,_2093.txt score=0.12725192
46. D:\Corpus\Solar_eclipse_of_July_24,_2074.txt score=0.12725192
47. D:\Corpus\Solar_eclipse_of_July_3,_2084.txt score=0.12725192
48. D:\Corpus\Solar_eclipse_of_July_30,_1916.txt score=0.12725192
49. D:\Corpus\Solar_eclipse_of_June_11,_2067.txt score=0.12725192
50. D:\Corpus\Solar_eclipse_of_June_22,_2066.txt score=0.12725192
51. D:\Corpus\Solar_eclipse_of_June_22,_2085.txt score=0.12725192
52. D:\Corpus\Solar_eclipse_of_March_10,_2081.txt score=0.12725192
53. D:\Corpus\Solar_eclipse_of_March_21,_2099.txt score=0.12725192
54. D:\Corpus\Solar_eclipse_of_March_27,_1941.txt score=0.12725192
55. D:\Corpus\Solar_eclipse_of_March_29,_1903.txt score=0.12725192
56. D:\Corpus\Solar_eclipse_of_March_31,_2071.txt score=0.12725192
57. D:\Corpus\Solar_eclipse_of_March_6,_1905.txt score=0.12725192
58. D:\Corpus\Solar_eclipse_of_November_15,_2096.txt score=0.12725192
59. D:\Corpus\Solar_eclipse_of_October_14,_2088.txt score=0.12725192
60. D:\Corpus\Solar_eclipse_of_September_11,_1988.txt score=0.12725192
61. D:\Corpus\Solar_eclipse_of_August_29,_1886.txt score=0.12718427
62. D:\Corpus\Solar_eclipse_of_September_23,_2071.txt score=0.1270147
63. D:\Corpus\Solar_eclipse_of_March_18,_1988.txt score=0.12684971
64. D:\Corpus\Solar_eclipse_of_December_4,_2002.txt score=0.12643604
65. D:\Corpus\Solar_eclipse_of_August_24,_2082.txt score=0.12540537
66. D:\Corpus\Solar_eclipse_of_June_11,_2086.txt score=0.12540537
67. D:\Corpus\Solar_eclipse_of_June_2,_2095.txt score=0.12540537
68. D:\Corpus\Solar_eclipse_of_May_11,_2059.txt score=0.12540537
69. D:\Corpus\Solar_eclipse_of_May_11,_2097.txt score=0.12540537
70. D:\Corpus\Solar_eclipse_of_May_21,_2031.txt score=0.12540537
71. D:\Corpus\Solar_eclipse_of_May_22,_2077.txt score=0.12540537
72. D:\Corpus\Solar_eclipse_of_May_29,_1938.txt score=0.12540537
73. D:\Corpus\Solar_eclipse_of_May_9,_1910.txt score=0.12540537
74. D:\Corpus\Solar_eclipse_of_October_1,_1921.txt score=0.12540537
75. D:\Corpus\Solar_eclipse_of_October_12,_1996.txt score=0.12540537
76. D:\Corpus\Solar_eclipse_of_September_12,_1950.txt score=0.12540537
77. D:\Corpus\Solar_eclipse_of_September_21,_1903.txt score=0.12540537
78. D:\Corpus\Solar_eclipse_of_January_14,_1907.txt score=0.12513697
79. D:\Corpus\Solar_eclipse_of_July_1,_2011.txt score=0.12425113
80. D:\Corpus\Solar_eclipse_of_February_25,_1952.txt score=0.12414499
81. D:\Corpus\Solar_eclipse_of_June_13,_2132.txt score=0.12414499
82. D:\Corpus\Solar_eclipse_of_March_9,_1997.txt score=0.12414499
83. D:\Corpus\Solar_eclipse_of_February_26,_1998.txt score=0.124117166
84. D:\Corpus\Solar_eclipse_of_January_15,_2010.txt score=0.12399319
85. D:\Corpus\Solar_eclipse_of_December_4,_2021.txt score=0.12354344
86. D:\Corpus\Solar_eclipse_of_January_25,_1944.txt score=0.12354344
87. D:\Corpus\Solar_eclipse_of_February_3,_1935.txt score=0.12345352
88. D:\Corpus\Solar_eclipse_of_May_21,_1993.txt score=0.12345352
89. D:\Corpus\Solar_eclipse_of_July_9,_1945.txt score=0.12335702
90. D:\Corpus\Solar_eclipse_of_June_25,_2150.txt score=0.12243226
91. D:\Corpus\Solar_eclipse_of_June_29,_1927.txt score=0.12243226
92. D:\Corpus\Solar_eclipse_of_May_22,_2096.txt score=0.12243226
93. D:\Corpus\Solar_eclipse_of_February_7,_2008.txt score=0.122174904
94. D:\Corpus\Solar_eclipse_of_March_7,_1598.txt score=0.12213021
95. D:\Corpus\Solar_eclipse_of_May_18,_1901.txt score=0.12150121
96. D:\Corpus\Solar_eclipse_of_February_3,_1916.txt score=0.12134184
97. D:\Corpus\Eclipse_chasers.txt score=0.121209666
98. D:\Corpus\Eclipse_chasing.txt score=0.121209666
99. D:\Corpus\Solar_eclipse_of_December_5,_2048.txt score=0.121209666
100. D:\Corpus\Solar_eclipse_of_January_26,_2028.txt score=0.121209666

============================================================================

2017 solar eclipse
====================
1. D:\Corpus\List_of_solar_eclipses_visible_from_Ukraine.txt score=0.86844844
2. D:\Corpus\List_of_solar_eclipses_visible_from_the_Philippines.txt score=0.8476157
3. D:\Corpus\List_of_solar_eclipses_visible_from_Russia.txt score=0.61249554
4. D:\Corpus\Solar_eclipse_of_May_30,_1946.txt score=0.49815834
5. D:\Corpus\Solar_Saros_126.txt score=0.47903097
6. D:\Corpus\Solar_eclipse_of_August_22,_1979.txt score=0.46968222
7. D:\Corpus\Solar_eclipse_of_October_14,_2042.txt score=0.44610786
8. D:\Corpus\Solar_eclipse_of_June_28,_1889.txt score=0.44246662
9. D:\Corpus\Solar_eclipse_of_December_25,_2000.txt score=0.44031394
10. D:\Corpus\Solar_eclipse_of_November_12,_1985.txt score=0.44031394
11. D:\Corpus\Solar_eclipse_of_September_22,_1968.txt score=0.44031394
12. D:\Corpus\List_of_solar_eclipses_visible_from_the_United_States.txt score=0.43932995
13. D:\Corpus\Solar_eclipse_of_December_14,_1917.txt score=0.43452018
14. D:\Corpus\Solar_eclipse_of_November_4,_2097.txt score=0.43452018
15. D:\Corpus\Solar_eclipse_of_June_8,_1937.txt score=0.43353856
16. D:\Corpus\Solar_eclipse_of_April_16,_1874.txt score=0.43283954
17. D:\Corpus\Solar_eclipse_of_February_9,_1766.txt score=0.43283954
18. D:\Corpus\Solar_eclipse_of_April_8,_2005.txt score=0.43159822
19. D:\Corpus\Solar_eclipse_of_June_3,_2114.txt score=0.43141776
20. D:\Corpus\Solar_eclipse_of_August_12,_1942.txt score=0.4295284
21. D:\Corpus\Solar_eclipse_of_January_16,_2094.txt score=0.4295284
22. D:\Corpus\Solar_eclipse_of_October_14,_2004.txt score=0.4295284
23. D:\Corpus\Solar_eclipse_of_July_18,_1860.txt score=0.4226615
24. D:\Corpus\Solar_eclipse_of_November_2,_1967.txt score=0.4226615
25. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.41958618
26. D:\Corpus\Solar_eclipse_of_April_10,_2089.txt score=0.41794068
27. D:\Corpus\Solar_eclipse_of_April_7,_1940.txt score=0.41794068
28. D:\Corpus\Solar_eclipse_of_April_8,_1921.txt score=0.41794068
29. D:\Corpus\Solar_eclipse_of_August_10,_1934.txt score=0.41794068
30. D:\Corpus\Solar_eclipse_of_August_3,_2092.txt score=0.41794068
31. D:\Corpus\Solar_eclipse_of_February_25,_1914.txt score=0.41794068
32. D:\Corpus\Solar_eclipse_of_February_27,_2082.txt score=0.41794068
33. D:\Corpus\Solar_eclipse_of_February_7,_2092.txt score=0.41794068
34. D:\Corpus\Solar_eclipse_of_January_25,_1963.txt score=0.41794068
35. D:\Corpus\Solar_eclipse_of_January_27,_2074.txt score=0.41794068
36. D:\Corpus\Solar_eclipse_of_July_10,_1907.txt score=0.41794068
37. D:\Corpus\Solar_eclipse_of_July_13,_2075.txt score=0.41794068
38. D:\Corpus\Solar_eclipse_of_July_23,_2093.txt score=0.41794068
39. D:\Corpus\Solar_eclipse_of_July_24,_2074.txt score=0.41794068
40. D:\Corpus\Solar_eclipse_of_July_3,_2084.txt score=0.41794068
41. D:\Corpus\Solar_eclipse_of_July_30,_1916.txt score=0.41794068
42. D:\Corpus\Solar_eclipse_of_June_11,_2067.txt score=0.41794068
43. D:\Corpus\Solar_eclipse_of_June_22,_2066.txt score=0.41794068
44. D:\Corpus\Solar_eclipse_of_June_22,_2085.txt score=0.41794068
45. D:\Corpus\Solar_eclipse_of_March_10,_2081.txt score=0.41794068
46. D:\Corpus\Solar_eclipse_of_March_21,_2099.txt score=0.41794068
47. D:\Corpus\Solar_eclipse_of_March_27,_1941.txt score=0.41794068
48. D:\Corpus\Solar_eclipse_of_March_29,_1903.txt score=0.41794068
49. D:\Corpus\Solar_eclipse_of_March_31,_2071.txt score=0.41794068
50. D:\Corpus\Solar_eclipse_of_March_6,_1905.txt score=0.41794068
51. D:\Corpus\Solar_eclipse_of_November_15,_2096.txt score=0.41794068
52. D:\Corpus\Solar_eclipse_of_October_14,_2088.txt score=0.41794068
53. D:\Corpus\Solar_eclipse_of_September_11,_1988.txt score=0.41794068
54. D:\Corpus\Solar_eclipse_of_August_29,_1886.txt score=0.4177185
55. D:\Corpus\Solar_eclipse_of_September_23,_2071.txt score=0.41716152
56. D:\Corpus\Solar_eclipse_of_March_18,_1988.txt score=0.41661966
57. D:\Corpus\Solar_eclipse_of_December_4,_2002.txt score=0.41526103
58. D:\Corpus\Solar_eclipse_of_August_24,_2082.txt score=0.41187596
59. D:\Corpus\Solar_eclipse_of_June_11,_2086.txt score=0.41187596
60. D:\Corpus\Solar_eclipse_of_June_2,_2095.txt score=0.41187596
61. D:\Corpus\Solar_eclipse_of_May_11,_2059.txt score=0.41187596
62. D:\Corpus\Solar_eclipse_of_May_11,_2097.txt score=0.41187596
63. D:\Corpus\Solar_eclipse_of_May_21,_2031.txt score=0.41187596
64. D:\Corpus\Solar_eclipse_of_May_22,_2077.txt score=0.41187596
65. D:\Corpus\Solar_eclipse_of_May_29,_1938.txt score=0.41187596
66. D:\Corpus\Solar_eclipse_of_May_9,_1910.txt score=0.41187596
67. D:\Corpus\Solar_eclipse_of_October_1,_1921.txt score=0.41187596
68. D:\Corpus\Solar_eclipse_of_October_12,_1996.txt score=0.41187596
69. D:\Corpus\Solar_eclipse_of_September_12,_1950.txt score=0.41187596
70. D:\Corpus\Solar_eclipse_of_September_21,_1903.txt score=0.41187596
71. D:\Corpus\Solar_eclipse_of_January_14,_1907.txt score=0.41099447
72. D:\Corpus\Solar_eclipse_of_July_1,_2011.txt score=0.40808502
73. D:\Corpus\Solar_eclipse_of_February_25,_1952.txt score=0.40773642
74. D:\Corpus\Solar_eclipse_of_June_13,_2132.txt score=0.40773642
75. D:\Corpus\Solar_eclipse_of_March_9,_1997.txt score=0.40773642
76. D:\Corpus\Solar_eclipse_of_February_26,_1998.txt score=0.40764502
77. D:\Corpus\Solar_eclipse_of_January_15,_2010.txt score=0.40723783
78. D:\Corpus\Solar_eclipse_of_December_4,_2021.txt score=0.4057607
79. D:\Corpus\Solar_eclipse_of_January_25,_1944.txt score=0.4057607
80. D:\Corpus\Solar_eclipse_of_February_3,_1935.txt score=0.40546536
81. D:\Corpus\Solar_eclipse_of_May_21,_1993.txt score=0.40546536
82. D:\Corpus\Solar_eclipse_of_July_9,_1945.txt score=0.40514845
83. D:\Corpus\Solar_eclipse_of_June_25,_2150.txt score=0.40211123
84. D:\Corpus\Solar_eclipse_of_June_29,_1927.txt score=0.40211123
85. D:\Corpus\Solar_eclipse_of_May_22,_2096.txt score=0.40211123
86. D:\Corpus\Solar_eclipse_of_February_7,_2008.txt score=0.40126592
87. D:\Corpus\Solar_eclipse_of_March_7,_1598.txt score=0.40111914
88. D:\Corpus\Solar_eclipse_of_May_18,_1901.txt score=0.3990533
89. D:\Corpus\Solar_eclipse_of_February_3,_1916.txt score=0.39852983
90. D:\Corpus\Eclipse_chasers.txt score=0.39809573
91. D:\Corpus\Eclipse_chasing.txt score=0.39809573
92. D:\Corpus\Solar_eclipse_of_December_5,_2048.txt score=0.39809573
93. D:\Corpus\Solar_eclipse_of_January_26,_2028.txt score=0.39809573
94. D:\Corpus\Solar_eclipse_of_March_30,_2052.txt score=0.39809573
95. D:\Corpus\Solar_eclipse_of_September_3,_2081.txt score=0.39809573
96. D:\Corpus\Solar_eclipse_of_December_2,_1937.txt score=0.39626518
97. D:\Corpus\Solar_eclipse_of_June_24,_1778.txt score=0.39626518
98. D:\Corpus\Solar_eclipse_of_July_22,_2009.txt score=0.39466435
99. D:\Corpus\Solar_eclipse_of_August_12,_1654.txt score=0.39291078
100. D:\Corpus\Solar_eclipse_of_April_30,_2060.txt score=0.39290464

========================================================================

total eclipse lyrics
========================
1. D:\Corpus\Solar_eclipse_of_July_10,_1972.txt score=0.37002528
2. D:\Corpus\Solar_eclipses_in_fiction.txt score=0.19419965
3. D:\Corpus\R%C3%A2mnicu_V%C3%A2lcea.txt score=0.18871558
4. D:\Corpus\List_of_solar_eclipses_visible_from_Russia.txt score=0.11368384
5. D:\Corpus\List_of_solar_eclipses_visible_from_the_United_States.txt score=0.11306226
6. D:\Corpus\Solar_Saros_126.txt score=0.10958831
7. D:\Corpus\Solar_Saros_145.txt score=0.10477021
8. D:\Corpus\Solar_Saros_146.txt score=0.10477021
9. D:\Corpus\Solar_eclipse_of_April_16,_1874.txt score=0.10359031
10. D:\Corpus\Solar_eclipse_of_August_29,_1886.txt score=0.10359031
11. D:\Corpus\Solar_eclipse_of_February_9,_1766.txt score=0.10359031
12. D:\Corpus\Blue_moon.txt score=0.100734875
13. D:\Corpus\List_of_solar_eclipses_visible_from_China.txt score=0.09976377
14. D:\Corpus\Solar_eclipse_of_June_8,_1937.txt score=0.099754654
15. D:\Corpus\Solar_Saros_136.txt score=0.09967852
16. D:\Corpus\Solar_eclipse_of_December_4,_2002.txt score=0.09917635
17. D:\Corpus\Solar_eclipse_of_January_16,_2094.txt score=0.09891701
18. D:\Corpus\Solar_eclipse_of_July_11,_1991.txt score=0.09891701
19. D:\Corpus\Solar_eclipse_of_June_24,_1778.txt score=0.09715575
20. D:\Corpus\Solar_eclipse_of_August_1,_2008.txt score=0.09682512
21. D:\Corpus\Solar_eclipse_of_July_18,_1860.txt score=0.09503388
22. D:\Corpus\Solar_eclipse_of_June_3,_2114.txt score=0.09474468
23. D:\Corpus\Solar_eclipse_of_February_26,_1998.txt score=0.0945768
24. D:\Corpus\Solar_eclipse_of_June_25,_2150.txt score=0.09407875
25. D:\Corpus\Solar_eclipse_of_April_8,_2005.txt score=0.09382
26. D:\Corpus\Solar_eclipse_of_July_16,_2186.txt score=0.09277281
27. D:\Corpus\Solar_Saros_139.txt score=0.09239864
28. D:\Corpus\Solar_eclipse_of_December_4,_2021.txt score=0.09223676
29. D:\Corpus\Solar_eclipse_of_December_5,_2048.txt score=0.09223676
30. D:\Corpus\Solar_eclipse_of_March_30,_2052.txt score=0.09223676
31. D:\Corpus\Solar_eclipse_of_July_22,_2009.txt score=0.092046484
32. D:\Corpus\Solar_eclipse_of_November_12,_1985.txt score=0.09179832
33. D:\Corpus\Solar_eclipse_of_September_22,_1968.txt score=0.09179832
34. D:\Corpus\Solar_eclipse_of_May_22,_1724.txt score=0.09108221
35. D:\Corpus\Solar_eclipse_of_September_7,_1858.txt score=0.09108221
36. D:\Corpus\Solar_eclipse_of_August_29,_1867.txt score=0.09086196
37. D:\Corpus\Solar_Saros_143.txt score=0.09073367
38. D:\Corpus\Solar_eclipse_of_March_9,_1997.txt score=0.09073269
39. D:\Corpus\Solar_eclipse_of_August_12,_2026.txt score=0.09021764
40. D:\Corpus\Solar_eclipse_of_August_19,_1887.txt score=0.08994876
41. D:\Corpus\Solar_eclipse_of_September_23,_2071.txt score=0.08994361
42. D:\Corpus\Solar_eclipse_of_April_16,_1893.txt score=0.089612
43. D:\Corpus\Solar_eclipse_of_December_17,_2066.txt score=0.089612
44. D:\Corpus\Solar_eclipse_of_December_27,_2084.txt score=0.089612
45. D:\Corpus\Solar_eclipse_of_March_7,_1598.txt score=0.089612
46. D:\Corpus\Solar_eclipse_of_October_1,_1940.txt score=0.089612
47. D:\Corpus\Solar_eclipse_of_March_18,_1988.txt score=0.08898571
48. D:\Corpus\Solar_eclipse_of_May_18,_1901.txt score=0.08898571
49. D:\Corpus\Solar_eclipse_of_February_3,_1916.txt score=0.08870746
50. D:\Corpus\Solar_eclipse_of_November_30,_1853.txt score=0.08816451
51. D:\Corpus\Total_penumbral_lunar_eclipse.txt score=0.08812087
52. D:\Corpus\Solar_eclipse_of_May_28,_1900.txt score=0.088036895
53. D:\Corpus\Solar_eclipse_of_August_24,_2082.txt score=0.08791518
54. D:\Corpus\Solar_eclipse_of_June_11,_2086.txt score=0.08791518
55. D:\Corpus\Solar_eclipse_of_June_2,_2095.txt score=0.08791518
56. D:\Corpus\Solar_eclipse_of_May_11,_2059.txt score=0.08791518
57. D:\Corpus\Solar_eclipse_of_May_11,_2097.txt score=0.08791518
58. D:\Corpus\Solar_eclipse_of_May_22,_2077.txt score=0.08791518
59. D:\Corpus\Solar_eclipse_of_May_29,_1938.txt score=0.08791518
60. D:\Corpus\Solar_eclipse_of_May_9,_1910.txt score=0.08791518
61. D:\Corpus\Solar_eclipse_of_November_2,_1967.txt score=0.08791518
62. D:\Corpus\Solar_eclipse_of_October_1,_1921.txt score=0.08791518
63. D:\Corpus\Solar_eclipse_of_September_12,_1950.txt score=0.08791518
64. D:\Corpus\Solar_eclipse_of_September_21,_1903.txt score=0.08791518
65. D:\Corpus\Eclipse_chasers.txt score=0.087435685
66. D:\Corpus\Eclipse_chasing.txt score=0.087435685
67. D:\Corpus\Solar_eclipse_of_January_25,_1944.txt score=0.087435685
68. D:\Corpus\Solar_eclipse_of_September_3,_2081.txt score=0.087435685
69. D:\Corpus\Solar_eclipse_of_February_25,_1952.txt score=0.087031595
70. D:\Corpus\Solar_eclipse_of_June_13,_2132.txt score=0.087031595
71. D:\Corpus\Solar_eclipse_of_June_19,_1936.txt score=0.087031595
72. D:\Corpus\Solar_eclipse_of_June_29,_1927.txt score=0.087031595
73. D:\Corpus\Solar_eclipse_of_May_22,_2096.txt score=0.087031595
74. D:\Corpus\Solar_eclipse_of_April_25,_1865.txt score=0.08685237
75. D:\Corpus\Solar_eclipse_of_April_28,_1911.txt score=0.08685237
76. D:\Corpus\Solar_eclipse_of_April_6,_1875.txt score=0.08685237
77. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.086674765
78. D:\Corpus\Solar_eclipse_of_August_7,_1869.txt score=0.0866027
79. D:\Corpus\Solar_eclipse_of_January_1,_1889.txt score=0.0866027
80. D:\Corpus\Solar_eclipse_of_January_24,_1925.txt score=0.0866027
81. D:\Corpus\Solar_eclipse_of_November_23,_2003.txt score=0.0866027
82. D:\Corpus\Solar_eclipse_of_May_6,_1883.txt score=0.086571306
83. D:\Corpus\Solar_eclipse_of_October_14,_2042.txt score=0.08616817
84. D:\Corpus\Solar_eclipse_of_June_21,_2001.txt score=0.08564329
85. D:\Corpus\List_of_solar_eclipses_in_the_20th_century.txt score=0.08545765
86. D:\Corpus\Solar_eclipse_of_September_8,_1885.txt score=0.085058
87. D:\Corpus\Solar_eclipse_of_April_30,_2060.txt score=0.085006356
88. D:\Corpus\Solar_eclipse_of_February_14,_1934.txt score=0.085006356
89. D:\Corpus\Solar_eclipse_of_July_5,_2168.txt score=0.085006356
90. D:\Corpus\Solar_eclipse_of_May_17,_1882.txt score=0.085006356
